Palestrante;Minibio
Cleo Monteiro Lobato;Cleo Monteiro Lobato é bisneta de Monteiro Lobato, historiadora formada pela USP, escritora e tradutora. Cleo é filha de Joyce Campos (neta que teve contato com o escritor até os 18 anos) e idealizadora de um projeto que prevê adaptações da obra de Monteiro Lobado aos tempos atuais. Cleo também é responsável pela tradução do livro “Reinações de Narizinho”, para o inglês.
;
Cris Silva;Tradutora e intérprete de conferências (português, inglês, espanhol), terminólogia, consultora (Brasil)
;
Cris Tribst;Cristiane Tribst é tradutora juramentada com mais de 20 anos de experiência e foco principal nas áreas jurídica, de engenharia, negócios, petróleo e gás, mineração, finanças e tecnologia, incluindo computação, rede, hardware, software e demais áreas relacionadas.
;
Dafne Baddini;Tradutora e revisora especializada em audiovisual no par inglês-português. Bacharel em Letras-Tradução pela PUC-Rio, com especialização em Interpretação Simultânea pela PUC-SP. Atua no mercado de TAV desde 2006, tendo legendado para grandes canais, mostras e festivais de cinema. Atende também produtoras de conteúdo audiovisual corporativo, institucional e publicitário. Desde 2011, leciona cursos de formação de legendadores no Rio e em São Paulo. Recentemente, tem pesquisado os aspectos multimodais da legendagem integrada. Já foi professora e coordenadora pedagógica da ONG Cidadão Pró-Mundo, atuando como voluntária. Adora lecionar e antes da pandemia descobriu outra paixão, agora em hiato: o teatro.
;
Daniele Fonseca;Tradutora e intérprete desde 1996, acumula mais de 2000 dias de experiência em cabine com experiência nas áreas de saúde, engenharia, finanças, negócios, processos fabris, dentre outras áreas técnicas. Atualmente é membro das seguintes associações profissionais: AIIC e APIC. Idiomas de trabalho: Português e inglês ativos e espanhol passivo. Grande experiência no gerenciamento de equipes de tradutores e intérpretes para atendimento de grandes projetos editoriais e conferências. Foco especial em eventos médicos e da indústria farmacêutica e simpósios em áreas técnicas. Assessoria linguístico-cultural para organizadores de eventos. Além disso, criou e lidera o programa online de aprimoramento de intérpretes Booth Camp e atua como palestrante convidada em eventos da área de interpretação.
;
Daniel Erlich;"Me interesso por tradução desde os 8 anos, quando minha família foi morar no Canadá. Estudei Humanities na UWO (Canadá), Tradução no Mackenzie, Linguística na Unicamp e Interpretação na PUC-SP, além de muitos outros cursos ao longo dos anos. Trabalho com tradução desde 2007, com especializações em entretenimento (tradução audiovisual e localização de jogos) e como intérprete (inglês e português A, francês e espanhol C). Além disso, sou certificado pela ATA, credenciado pela Abrates, e um ProZ Certified PRO; e fui secretário do Sintra (2017-2019) e da Abrates (2020-2022)."
;
Daniel Estill (In Memorian);"Daniel Estill (In Memorian) é Doutor em Estudos da Linguagem-Tradução pela PUC-Rio e mestre em Teoria Literária e Literatura Comparada pela USP e bacharel em jornalismo. Sua tese, De artesanato a indústria, a tradução globalizada fala sobre o papel da atividade e suas transformações diante da Globalização. Sócio da Arquitexto Traduções, atua no mercado de tradução desde 1992 como empresário, tradutor, revisor e gerente de projetos. A partir de 2006 passou a se dedicar à tradução literária, tendo, entre as traduções publicadas: Mortalha para uma enfermeira, P. D. James; Deu no New York Times, Larry Rohter; Peregrinos, Elizabeth Gilbert; e O espantalho e seu criado, Philip Pullman, que recebeu a Menção Altamente Recomendável na categoria Tradução/Adaptação Jovem da Fundação Nacional do Livro Infantil e Juvenil, FNLIJ."
;
Daniel Guidi;Sou Daniel Guidi, ou The Bald Translator, tradutor de inglês para português brasileiro especializado em localização de jogos, com experiência em traduções técnicas que vão de artigos científicos e materiais educativos nas áreas de finanças e TI até políticas de privacidade. Originalmente biólogo, encontrei minha verdadeira paixão na tradução de jogos, onde posso unir pesquisa, criatividade e precisão em cada projeto. Participei de títulos como Hunt the Night e The Legend of Tianding, além de duas LOCJAMs. Valorizo conexões pessoais e profissionais que enriquecem meu trabalho, acreditando que todo projeto é uma jornada compartilhada inspirada por diversas histórias.
;
Daniel Maciel;Daniel Maciel é tradutor e intérprete freelance há aproximadamente 14 anos. É tradutor público e intérprete comercial (‘tradutor juramentado’) no Brasil, tradutor técnico e intérprete de conferências em um monte de outros lugares, e um viciado em gadgets e eletrônicos em franca recaída em todos os lugares (o que não ajuda muito a guardar o dinheiro que ele ganha com as outras duas coisas, mas não vem ao caso você não sabe a minha jornada me deixa). Suas áreas de especialização são jurídico, finanças e TI, mas a vida o levou por uma série de outras veredas também. Ele também acha super estranho escrever sobre si mesmo na terceira pessoa, como pediram que ele fizesse para esta mini-bio em particular, e gostaria de deixar claro para todos e todas as colegas é um ser humano quase que inteiramente racional e sem quaisquer ilusões de grandiosidade que usa a primeira pessoa para falar de si mesmo quando não está escrevendo mini-bios.
;
Danny Reis;Danny Reis é formada em Comunicação Social, já foi redatora para sites e outros sistemas de TI, mas se encontrou na revisão de textos, área em que atua há cerca de 20 anos, revisando materiais EaD, textos acadêmicos, revistas e livros. Há nove anos, começou a se interessar pela tradução e fez o curso de formação profissional para tradutores em espanhol da antiga Abierto, e em 2017 concluiu a Pós-Graduação em Tradução de Espanhol da Estácio. Hoje, além de revisora, é tradutora das áreas audiovisual (dublagem) e editorial.
;
David Rumsey;David Rumsey is the past-president of the American Translators Association 2015-2017. A veteran of the language industry since 1990, David has worked on all side of the industry, including as a localization manager at Retek and Oracle, Inc, in charge of localizing retail software into a hose of different languages. He also worked as a project manager at LinguaNet, Inc. and Polyglot LLC. He is currently a freelance translator focusing on technical, medical and commercial projects from the Scandinavian languages into English. He is a certified ATA translator for Swedish & Danish > English and serves as a grader for the ATA Swedish > English certification exam. He continues to be involved in ATA and publishes articles related to translation, communication and leadership. He can be found at www.rumseytranslations.com and on Twitter and LinkedIn @davidcrumsey
;
Dea Moretto;Tradutora desde 2004, também atua como legendadora e intérprete. Além do inglês-português, também trabalha com italiano e espanhol. Tem formação em Economia pela UNESP, com ênfase em Políticas Públicas e é intérprete voluntária para causas globais em organização como Forum Social Mundial e Common Languages. Atua, também, como mentora na ABRATES. Vive em Araraquara-SP com sua filha bailarina de 16 anos e duas gatas vira-latas.
;
Debora Fleck;Debora Fleck tem graduação em Administração (PUC-Rio) e mestrado em Literatura Brasileira (UERJ). Trabalhou seis anos na Editora 7Letras e completou a Formação de Tradutores da PUC-Rio em 2012. Traduz do inglês e do francês e trabalha também como revisora. Entre seus principais trabalhos estão a tradução do clássico 1984, do livro de não ficção O mundo que não pensa (Leya Brasil) e da série de HQ *O árabe do *futuro (Intrínseca). Desde 2018, conduz em parceria com a Mariana oficinas e cursos voltados ao universo da tradução literária.
;
Deborah Cornélio;"- Cofundadora, diretora e professora da Estrada – Escola de Tradução Audiovisual
- Mentora em Técnicas de Ensino e Tradução para Legendagem da APTRAD – Associação de
Profissionais de Tradução e de Interpretação, com sede no Porto, em Portugal. Afiliada à
ABRATES – Associação Brasileira de Tradutores e Intérpretes.
- Professora do Canal Futura no projeto #nem1pratrás
- Tradutora e revisora para legendagem e dublagem com milhares de horas traduzidas de
material audiovisual
- Palestrante em congressos nacionais e internacionais"
;
Denise Araújo;Intérprete de conferência há 15 anos, trabalhando com os idiomas português (A), inglês (B) e espanhol (C) em conferências, eventos corporativos, seminários, reuniões e palestras em diferentes áreas do conhecimento. Pós-graduada em interpretação de conferências (2008) e mestre em Estudos da Linguagem (2017) pela PUC-Rio. Desde 2012 é professora do curso de formação de intérpretes na mesma instituição. Membro da AIIC, da APIC e do Sintra. Representante do Brasil no AIIC Training, Comitê de Formação e Atualização Profissional da AIIC.
;
Denise Bobadilha;Denise Bobadilha é intérprete de inglês/português, tradutora e jornalista. É atual segunda vice-presidente da APIC (Associação Profissional dos Intérpretes de Conferência). Trabalha para a CNN Brasil e organizações internacionais e empresas de diferentes setores, como comunicação, agronegócio e saúde. É sócia da House of Words e está no IG e X como @denisebob
;
Denise Delegá;"Doutora e Mestre em Linguística Aplicada e Estudos da Linguagem pela PUC São Paulo. Atua na área de ensino há 32 anos, destes 15 anos na coordenação de cursos e desenvolvimento de pessoas. Desenvolve trabalhos na área de Ensino de Língua Estrangeira, Tradução e Terminologia em cursos presenciais e on-line. Pesquisa e áreas de interesse envolvem linguagem dos alunos de inglês, linguagem e motivação no ensino, produção de material didático, tecnologia aplicada aos estudos linguísticos, Tradução e Terminologia. Fluente em espanhol, inglês e italiano. Coautora dos livros: What’s on: aprenda inglês com filmes e séries; Tecnologias e mídias no ensino de inglês: o corpus nas receitas. Professora no Tradusa e diretora em um instituto de idiomas."
;
Diego Marsicano;Tradutor audiovisual desde 2008, formado em Letras com mestrado em Estudos Linguísticos e Semióticos pela USP, especialização em tradução, pela PUC-SP, e em LIBRAS pela FENEIS. Começou sua experiência no audiovisual fazendo legendas para surdos e ensurdecidos, tanto as abertas (Legendas Descritivas – SDH/LSE) como as fechadas (Closed Caption) e hoje, além das traduções para legendas e para dublagem, presta serviço com analista de acessibilidade audiovisual, especificamente, treinando equipes, revisando materiais e preparando legendas para surdos e ensurdecidos.
;
Dilma Machado;- Fundadora, diretora e professora da Estrada – Escola de Tradução Audiovisual. - Mentora em Tradução para Dublagem da APTRAD – Associação de Profissionais de Tradução e de Interpretação, com sede no Porto, em Portugal. - Tradutora / dubladora / cantora / escritora / professora de inglês e de Tradução para Dublagem. - Autora do livro “O Processo de Tradução para Dublagem Brasileira – Teoria e Prática”. - Palestrante em congressos nacionais e internacionais. - Professora da Universidade Estácio de Sá e da FMU
;
Dinaura Julles ;"Dinaura M. Julles é tradutora com mais de 30 anos de experiência, formada em
Jornalismo (Cásper Líbero), Tradução (PUC) e pós-graduação em Tradução (USP).
Especializada em traduções financeiras, jurídicas e jornalísticas. Traduziu cinco livros
da série TED Books, sendo dois na área de negócios e finanças publicados pela
Editora Alaúde e, mais recentemente, dois livros publicados Editora Astral Cultural,
um deles de literatura contemporânea. Ministra a Oficina de Tradução de Textos da
Área Jurídico-Financeira na PUC-SP, Tradução Jurídica e Jornalística na Lab Pub e
cursos específicos de tradução e inglês pela sua empresa, a Align Traduções e
Treinamentos."
;
Edmo Suassuna;Edmo Suassuna é tradutor literário desde 2004, com traduções publicadas de autores como Neil Gaiman, Suzanne Collins, Robert A. Heinlein, e tem mais de dez anos de experiência na localização de jogos. Foi editor do selo Suma de Letras de ficção pop, a casa brasileira de Stephen King, onde coordenou e editou dezenas de traduções. Um dos integrantes originais da equipe de localização de World of Warcraft, da qual ainda faz parte, Edmo também foi líder da equipe de tradução de Diablo III, e participa de projetos de jogos da Microsoft, Sony, Blizzard, Riot, Epic, Amazon, Capcom, Bungie, entre outras.
;
Ellen Maria;"Ellen Maria Vasconcellos nasceu em Santos e atualmente vive em Lisboa. Tem bacharelado e licenciatura em Letras, é mestre e estudante de doutorado em literatura contemporânea na Universidade de São Paulo. Como tradutora freelance, traduziu obras de Cesar Vallejo, Ben Lerner, Fernanda Trías e Sara Gallardo. Coordenou e edita coleções didáticas, paradidáticas, e obras de literatura. Dá cursos nas áreas de tradução, literatura e formação de professores. Também é professora de espanhol e português.
Portfólio: <https://ellenmartins.wixsite.com/home>  
Instagram: @corpofora
"
;
Eneide Moreira;Executiva sênior da indústria de idiomas, CEO e fundadora da TranslateWay, fornecedora de soluções de idiomas para grandes projetos de localização e tradução em todo o mundo. Expertise em tradução, localização, legendagem, interpretação, CAT Tools e ensino de idiomas, com mais de vinte anos de experiência no Brasil e em Portugal.
;
Equipe SBD;Uma conversa sobre tradução para dublagem com a equipe da SBD. Nós da Sociedade Brasileira de Dublagem temos um compromisso de ensinar a todos aqueles que querem entrar no mercado da dublagem.
;
Érico Assis;"Érico Assis é tradutor e jornalista. Colabora desde 2008 com várias editoras brasileiras em traduções do inglês e do francês, é colunista do Omelete e do Blog da Companhia, escreve resenhas para Folha de S. Paulo, 451 e Globo, participa do podcast Notas dos Tradutores e é autor do livro ""Balões de Pensamento"" (Balão Editorial)."
;
Érika Lessa;Érika Lessa atua profissionalmente como tradutora desde 2006 e como intérprete de conferências desde 2008. É mestre em interpretação de conferências pela York University, no Canadá. Atualmente trabalha em tempo integral como intérprete do Colégio Interamericano de Defesa, em Washington, D.C., onde vive desde 2017. Como tradutora, atuou em diversas áreas como marketing, informática, editorial, legendagem, localização em geral, mas a localização de jogos era o seu xodó. Na carreira de intérprete, teve a oportunidade de atuar em grandes eventos como a Rio+20, Cúpula do Clima das Américas e os Jogos Mundiais Militares, porém nutre um carinho especial por algumas ocasiões: quando pôde ser a voz de Bill Clinton em sua cidade, Belém-PA, quando interpretou Michelle Bachelet, Al Gore, Tony Robbins, entre outras personalidades. Ama o que faz e acredita que o conhecimento deve ser compartilhado. Tenta ser relevante para o setor participando de associações profissionais como a Abrates, tendo sido vice-administradora da Divisão de Português da Associação Americana de Tradutores (ATA) e em comunicações realizadas em congressos. Tem orgulho de ter sido convidada para palestrar no Congresso da Abrates de 2019. Amante inveterada de palavras e expressões esdrúxulas. Elurófila assumida.
;
Evelise Scapol;Intérprete de conferências desde 2011, com experiência em interpretação simultânea, consecutiva e de acompanhamento, de forma presencial e remota. Formada em Tradução e Interpretação e pós-graduada em Interpretação de Conferências. Tem atuação constante na área de engenharias, tecnologia da informação, automação industrial, auditorias e comissionamento em fábricas e hospitais. Além disso realiza a interpretação simultânea de premiações e entrevistas para a televisão. Foi instrutora no curso de formação de intérpretes da Alumni. É membro efetivo da APIC e compõe a diretoria da associação no mandato 2023-2025.
;
Fabiana Zardo;Fabiana Zardo iniciou sua carreira de tradução em 2007. Traduzindo um pouco de tudo, o destino a levou para a área de tecnologia. Com o tempo, acabou trabalhando em inúmeros projetos de revisão e controle de qualidade. Hoje, atua como lead, LQAer, revisora e terminologista para diversos clientes de TI, segurança cibernética e antivírus, nuvem, automação, tecnologia da educação e RH, entre outros.
;
Fábio Matias;Tradutor, Revisor. Atualmente Gerente de Vendas na Babel DGT.
;
Felipe Pazello;Tradutor/intérprete do par inglês-português. Formado em Interpretação pela Interpret2B. Licenciado em Letras-Inglês pela Faculdade Cultura Inglesa. Pós-graduado em Tradução Audiovisual e em Tradução de Inglês pela Universidade Estácio de Sá. Licenciado, bacharel e mestre em Ensino de Física pela Universidade de São Paulo. Pós-graduado em Pneumatologia pelo Centro Universitário Ítalo-Brasileiro. Graduando em Teologia pelo Centro Universitário Ítalo-Brasileiro. Pós-graduado em Espiritualidade e Estudos da Consciência pela PUCRS. Aluno do curso de extensão em Mariologia, Demonologia e Angelologia pela Faculdade João Paulo II. Professor de Interpretação do Quijote.
;
Felipe Santos ;Graduado em Letras Português-Inglês pela UNISO em 2009 e em Tradução e Interpretação de Conferências pela Universidade Estácio de Sá em 2014. Mais de 500 horas de interpretação nas mais variadas áreas, tais como Medicina, Engenharia, Religião e Finanças. Já trabalhou em feiras como intérprete em estandes, acompanhamento em fábricas e em contextos religiosos.
;
Fernanda Brahemcha;Sou formada em Letras na FFLCH-USP. Trabalhei como tradutora com foco em audiovisual e descobri a audiodescrição, meu atual foco profissional. Desde então venho me especializando em acessibilidade comunicacional e explorando as nuances da comunicação. Pesquiso de forma autônoma formas de tornar diferentes materiais acessíveis a pessoas com deficiência visual, principalmente da comunicação textual.
;
Fernanda Castro;Fernanda Castro é autora, tradutora e preparadora de texto com experiência em várias casas editoriais, além de fazer parte da equipe de editores da Revista Mafagafo. Publicou O fantasma de Cora pela editora Gutenberg, a noveleta Lágrimas de carne pela editora Dame Blanche e também algumas ficções curtas em português e inglês. Em 2023, terá um romance lançado pela editora Suma. Ela mora em Recife com o marido, rodeada de praias, pássaros, plantas e paranoias. Pode ser encontrada no Twitter: @fernandaversa.
;
Fernanda Oliveira;Fernanda Oliveira, psicóloga atuante nas áreas clínica e organizacional, especializando em Neuropsicologia pela Universidade Federal de São Paulo (EPM/UNIFESP).
;
Fernanda Rocha;Tradutor e/ou intérprete freelance. Tradução, pós-edição MT, edição/revisão, transcriação, localização de sites, localização de software, legendagem, transcrição, treinamento, locução (dublagem).
;
Fernanda Vitarelli;Fernanda Vitarelli é advogada, tradutora e intérprete. Descobriu sua paixão pela tradução jurídica ainda na faculdade de direito, traduzindo sentenças e contratos. Ministra workshops e aulas sobre tradução jurídica desde 2010. 
;
Filipe Alverca;Filipe Alverca traduz desde 2007. Começou a traduzir as formalidades do juridiquês e as tecnicidades do petróleo e gás, mas o mercado acabou abrindo um mundo de possibilidades nas áreas de games, marketing, publicidade, entretenimento e tecnologia. É bacharel em Direito (Mackenzie Rio), tecnólogo em Marketing (SENAC-DF) e pós-graduado em Escrita Criativa (PUC-MG). Nasceu no Rio, mas já morou em Brasília, Recife e hoje se alimenta de pão de queijo em BH. Sempre interessado em ampliar seu repertório, viaja como se não houvesse amanhã (porque, se você parar pra pensar, na verdade não há).
;
Francine Oliveira;Francine Oliveira, graduada em Letras, mestre e doutora em Estudos Literários. Trabalho desde 2013 com tradução, revisão, ghostwriting e sou também jornalista e pesquisadora independente. Atuo ainda no combate à desinformação e no letramento digital voltado a profissionais da educação.
;
Gabriel Leszczinski;Psicólogo clínico, com atuação em psicoterapia de orientação psicanalítica e avaliação psicológica. Também trabalha com tradução e revisão de textos, com foco em textos técnicos e artigos científicos.
;
Gabriela Colicigno;"Jornalista e mestre em comunicação pela Faculdade Cásper Líbero, além de pós-graduada em Book Publishing pela Casa Educação e cursando pós em Tradução do Inglês na Estácio, é autista, tem quatro gatos, mais de mil livros e vários empregos. Fundou a Agência Magh em 2018, onde é agente literária, além ser tradutora (EN>PT-BR; ES>PT-BR), preparadora de textos e leitora crítica. Nas horas vagas, joga The Sims e lê tudo o que vê pela frente."
;
Gii Agria;Gii Agria, estudante do curso de Formação de Tradutores da Interpret2b, é bacharel em Linguística pela Carleton University, no Canadá, onde também estudou ASL (American Sign Language). Lá, também participou do primeiro congresso sobre linguagem inclusiva de pessoas não binárias, chamado THEY 2019. É professor de inglês desde 2010, estudante de tradução audiovisual e busca o mestrado em Linguística com foco em Teoria Sintática.
;
Gilson Mattos;Especialização em Estudos Linguísticos do Texto pela Universidade Federal do Rio Grande do Sul (2009) e Graduação em Letras - Bacharelado pela mesma universidade (1997). Tradutor e revisor técnico desde 2001. Tradutor Público e Intérprete Comercial desde 2010. Professor do Curso de Especialização em Estudos em Tradução: Teorias, Práticas e Tecnologias na PUCRS (2017/2018).
;
Giovana Bomentre;Giovana Bomentre gosta de viajar para o passado com roupas e para o futuro com leituras. Foi editora de ficção na Morro Branco e agora faz trabalhos freelance de edição e tradução, além de ser educadora sexual. Também faz curadoria de poesia na newsletter Ponto sem Nó, escreve resenhas no Sem Serifa e fala de sexualidade no Agora Pare.
;
Giovana Boselli ;Tradutora e revisora há 26 anos, credenciada pela ATA de inglês para português e ex-corretora de provas da ATA. Estudiosa da inteligência emocional, saúde mental e física, com certificação em Primeiros Socorros em Saúde Mental pela INIA Health, em Emotional Agility for Wellbeing at Work, com Susan David, e certificação internacional em Gerenciamento do Estresse pela ISMA BR e UTSA. Mentora em gestão de estresse e graduanda em Psicologia.
;
Giovana Lara;Giovana Lara é estenotipista na STN Caption. Formada em Direito pela Universidade São Judas Tadeu e estenotipista há 25 anos. Em seu trabalho na STN Caption começou trabalhando para câmaras arbitrais, fazendo registro em tempo real de arbitragens, com o tempo passou a fazer legendas Closed Caption para TV aberta. Atualmente segue gerando Closed Caption para emissoras de televisão, além gerar legendas, em português, para eventos presenciais e online com ou sem tradução simultânea para grandes clientes.
;
Gisley Ferreira;Gisley Ferreira é uma linguista experiente, especialista em transcriação e controle de qualidade em inglês, espanhol e português. Formou-se bacharel em Letras com habilitação em espanhol e inglês (UERJ) e fez pós-graduação em tradução de inglês e português (PUC-RJ). No mercado desde 1990, trabalhou em multinacionais como linguista e Quality Coordinator e, em 2001, fundou a Wordlink Traduções. É membro de várias associações, como ABRATES, ATA, Bliss, Juntos e Women in Localization. Atua como voluntária na ABRATES como coordenadora do Programa de Mentoria, na Bliss como conselheira fiscal e no Brazil Chapter da Women in Localization como Social Media Manager.
;
Guilherme Braga;Guilherme da Silva Braga atua como tradutor literário, pesquisador e professor de tradução. Com mais de setenta traduções literárias publicadas a partir do inglês, do norueguês, do sueco e do dinamarquês, em 2016 foi indicado ao Prêmio Jabuti de tradução. Em 2023 recebeu o Prêmio de Tradução da NORLA pelo destaque como tradutor literário de obras norueguesas no Brasil.
;
Guilherme Gama;Com uma trajetória profissional diversificada em linguística, atuando como professor, tradutor e especialista em legendagem, Guilherme está concluindo seu Bacharelado em Ciência da Computação pela Unicamp, com foco em Inteligência Artificial. Sua combinação única de conhecimento linguístico e técnico em IA o posiciona idealmente para liderar o desenvolvimento de nossa plataforma de legendagem, garantindo uma solução que equilibra técnica avançada e aplicabilidade.
;
Hariele Quara;"Hariele Quara é a mentora da Onda, comunidade de revisores que empreendem, e da Mestre da Revisão, empresa especializada em revisão de textos acadêmicos e conteúdo digital; graduada e mestre em Letras - Língua Portuguesa, jornalista, especialista em Marketing e em Revisão de Textos."
;
Horacio Corral;Com mais de 15 anos no mercado editorial, começou em 2007 como livreiro na Livraria Cultura. Livreiro por vocação e apaixonado por tecnologia é um entusiasta das mídias digitais. Já desempenhou diversos papéis em empresas da área de Economia Criativa. Foi sócio fundador do estúdio de games, Tlön Studios. O jogo Soul Gambler, lançado na loja Steam, vendeu mais 20 mil cópias em apenas um mês. Sua experiência com tradução é variada - tendo realizado traduções literárias e técnicas. Tornou-se uma das referências do mercado editorial brasileiro na venda e marketing de livros digitais com seu trabalho na Bookwire Brasil, a maior distribuidora de livros digitais e audiobooks do Brasil. Atualmente é Consultor na UmLivro (Meta Brasil), empresa pioneira no modelo de impressão sob demanda. Em 2018, criou a Tacet Books, um projeto editorial inovador com obras inéditas a partir de conteúdo em domínio público. A editora já possui mais de 970 livros digitais e 53 livros impressos.
;
Igor Lourenço;É professor adjunto da Universidade Federal de Uberlândia (UFU), onde é tutor da empresa júnior Babel Traduções há quase quatro anos e atual coordenador do Curso de Tradução. Já teve uma pequena empresa de tradução e atua como tradutor e revisor há mais de 15 anos, com enfoque em textos acadêmicos das áreas de saúde, linguística e administração. É membro permanente dos programas de pós-graduação em estudos linguísticos da UFU e da Universidade Federal de Minas Gerais (UFMG): PPGEL e POSLIN, respectivamente. Coordena o Grupo de Estudos em Expertise (GESTE), com enfoque em revisão e interação humano-computador. É membro da ABRATES.
;
Isabela Fontanella;Isabela Fontanella é pós-graduada em Finanças e Investimentos pela PUC-RS e Especialista em Ativos certificada pela ANBIMA. Atua como educadora e consultora financeira para pessoas físicas, e é sócia da Finanscia – uma plataforma de educação financeira gratuita e aberta ao público.
;
Isabel Borges;É aluna do curso de Tradução da Universidade Federal de Uberlândia (UFU) desde 2019 e diretora-presidente da empresa júnior Babel Traduções desde 2020. Em 2019, foi bolsista do Programa de Formação Acadêmica e Linguística para a Internacionalização (ProInt) da Diretoria de Relações Internacionais e Interinstitucionais (DRII) da UFU. Antes de ingressar no curso de Tradução, foi bolsista do Programa de Bolsa de Graduação intitulado “Ferramentas tecnológicas para o ensino e a pesquisa nas áreas de Tradução e Letras” entre 2017 e 2018, quando ainda era aluna do curso de Sistemas de Informação da UFU. Tem interesse principalmente em tradução publicitária, audiovisual e acadêmica e em localização de software.
;
Isabel Riera;Tradutora, revisora, coordenadora de projetos e agora na área de aquisição e gestão de talentos, Isabel acompanha de perto as inovações da Localização desde que começou na área, há mais de 10 anos. Sua carreira tem sido construída com participação e gestão de projetos variados de TI e Marketing, engajamento em grandes eventos de Localização e foco na valorização de pessoas e na importância de fazer conexões. Bacharel em Letras pela Universidade do Estado do Rio de Janeiro, compõe atualmente o time de São Paulo da RWS, empresa multinacional de software e serviços profissionais que adquiriu a SDL em 2020.
;
Isa Mara Lando;Isa Mara Lando já traduziu mais de 100 livros e é autora do “VocabuLando – Vocabulário Prático Inglês-Português”, em catálogo há mais de 20 anos, agora também em versão digital na Amazon. Nos últimos anos tem traduzido muitos materiais para RH e outros fins comerciais, sempre se valendo de uma primeira versão por programa. Na busca de aprimorar suas traduções, vem sistematizando suas técnicas a fim de compartilhar as melhores práticas em suas palestras e oficinas. 
;
Ivan L. Lopes;Ivan Luis Lopes é tradutor de inglês e japonês desde 2009. Formado em Letras pela Universidade de São Paulo, estudou língua e cultura japonesa no Japão, e passeou por algumas áreas da tradução, incluindo engenharia, farmácia, legendagem, dublagem e interpretação consecutiva, até encontrar o seu cantinho na localização de jogos e na tradução literária, onde atua no momento. Além disso, também é um dos criadores de uma comunidade de localizadores brasileiros, que gerou parceria e encontros virtuais com comunidades latino-americanas e internacionais.
;
Ivan M. Franco;O primeiro emprego do Ivan foi como atendente de uma videolocadora (uma espécie de Netflix analógica, para os jovens que nunca ouviram falar antes). Assistia, em média, a três filmes por dia e, no meio do papo com o cliente, sugeria uma obra que tivesse a ver com o seu perfil. Adoravam sua curadoria e sempre voltavam atrás de mais dicas. Aprendeu a editar sozinho e, quando pegou o jeito, foi contratado para fazer de um tudo – de vídeos institucionais a festas de 15 anos e casamentos. Foi assim que ganhou um dinheiro extra no período em que estudou Cinema no curso Imagem e Som da Universidade Federal de São Carlos, no interior de São Paulo. Embora tenha se especializado em roteiro e direção na faculdade, Ivan se dedica há mais tempo à edição e finalização mesmo. Tanto que conheceu sua atual companheira de trabalho e de vida, a Ligia, fazendo isso.
;
Ivar Panazzolo;Ivar Panazzolo Junior é formado em propaganda & marketing e tem especialização em design gráfico, branding e identidade visual. Atuou como professor de idiomas durante 10 anos, mas, após o segundo burnout, decidiu mudar de área. Passou a se dedicar à tradução de textos, atuando primeiramente na área de saúde e depois passando para as áreas de literatura, com mais de 62 traduções publicadas até o momento, e também a localização de jogos, a principal área de atuação da Rook. Também faz parte do Conselho Fiscal da diretoria da Abrates - Associação Brasileira de Tradutores e Intérpretes, na gestão 2022-2024, e da Divisão de Tradução Editorial da associação. Atualmente trabalha também nas áreas de criação de conteúdo em texto, revisão e também no treinamento de tradutores. Tem perfil independente e se interessa por séries, livros, ficção, fotografia e pela criação de jogos de combate medievais.
;
Jacqueline Plaça;A palestrante Jacqueline Plaça é formada em Audiovisual pela USP, especializada em Dramaturgia pela ENERC Buenos Aires, e pós-graduada em Educação pelo SENAC. Viaja constantemente para trabalhos voluntários em diversos projetos sociais ao longo das Américas. Trabalha com roteiro e tradução audiovisual há mais de 10 anos, transitando entre dublagem, legendagem e audiodescrição – sempre atenta à estrutura dramática das obras traduzidas. Está iniciando a carreira na interpretação de espanhol, com foco nos temas de cultura e meio ambiente.
;
Jane G. Coury;"Mestra em Linguística Aplicada e TESOL pela Universidade de Leicester no Reino Unido e pós-graduação em Educação Transformadora: pedagogia, fundamentos e práticas pela PUCRS. Trabalha com revisões de textos em inglês e versões (português - inglês), especificamente auxiliando acadêmicos em ciências exatas e humanas a publicar em revistas científicas internacionais. Desde 1987, atua como professora e treinadora de professores de inglês, e é Cambridge English Assessment Specialist. É autora dos livros ""Exercícios para falar melhor em inglês - Speaking Activities"" (Disal), ""Four short stories to use in the ELT classroom"" (Amazon) e co-autora de ""Help! Preciso de atividades para minhas aulas"" (Amazon)."
;
Jaqueline Nordin;Jaqueline Nordin é autora do livro:“ Introdução à Interpretação Forense no Brasil''. Formadora de intérpretes comunitários licenciada pela CCC (Cross cultural communication-USA). Integrante do Comitê de Treinamento & Educação da NAJIT Membro da EULITA (European Legal Interpreters and Translators Association). Cursou o programa MCI (Master Conference Interpreting) pela Glendon- York-Toronto. Cursou pós-graduação em T&I - Gama Filho. Colaboradora do projeto Mobilang, atuando como autora e co-autora de programas de formação/capacitação de intérpretes que atuam junto a defensoria pública geral da união pela Unb e UFPB, intérpretes comunitários em línguas indígenas pela UFRR. Responsável pelo desenvolvimento de todo material didático utilizado nos cursos pelos participantes e pelos tutores linguísticos das línguas de menor difusão, línguas indígenas e línguas de sinais.
;
Jayme Costa;Jayme Costa tem graduação em Geofísica pela Universidade de São Paulo(1989) e aperfeicoamento em Interpretation Skills Training pela Monterey Institute Of International Studies(1998). Atualmente é Coordenador do Depto de Trad e Int do Associação Alumni.
;
